Symbol,EPS Next 5Y,Fair Value
AAPL,0.1793,126.85895833559007
ADBE,0.175,368.3879797376076
BA,0.1233,-718.1073484336807
BYND,-0.069,#N/A
CAT,0.1906,#N/A
DIS,0.517,#N/A
DOCU,0.56,265.0353610510603
ENPH,0.4167,#N/A
ETSY,0.528,830.6425107117659
FB,0.237,#N/A
GS,0.168,-1862.2568036289765
HD,0.1057,#N/A
JPM,0.0128,#N/A
LMT,0.0511,#N/A
MCD,0.2043,#N/A
MSFT,0.1673,219.5491745637713
NKE,0.406,97.2510579837128
NVAX,0.0,-11.385096688570343
NVDA,0.2684,342.6664093158274
PYPL,0.2352,177.59280656701594
QCOM,0.2729,171.85812032041795
SPOT,,#N/A
SPY,,#N/A
SQ,0.5641,94.4746135756968
TGT,0.1145,#N/A
TQQQ,,#N/A
UNP,0.1323,161.35259201144453
V,0.2549,222.5607508555848
XOM,0.1014,#N/A
ZM,0.1538,#N/A
